# Desktop Apps
# Format: name|url
# These are printed during install for manual download/installation.

# Browsers
Google Chrome|https://www.google.com/chrome/
Firefox Nightly|https://www.mozilla.org/en-US/firefox/channel/desktop/#nightly

# Productivity
Notion|https://www.notion.so/desktop
Notion Calendar|https://www.notion.so/product/calendar
Linear|https://linear.app/download
Rectangle|https://rectangleapp.com
Stay|https://cordlessdog.com/stay/
Google Drive|https://www.google.com/drive/download/

# Communication
Slack|https://slack.com/downloads/mac
Discord|https://discord.com/download
WhatsApp|https://www.whatsapp.com/download
Zoom|https://zoom.us/download

# Development
Ghostty|https://ghostty.org/download
iTerm2|https://iterm2.com/downloads.html
Docker Desktop|https://www.docker.com/products/docker-desktop/
VS Code Insiders|https://code.visualstudio.com/insiders/
Claude|https://claude.ai/download
Antigravity|https://antigravity.app

# Design
Figma|https://www.figma.com/downloads/

# Utilities
Granola|https://granola.ai/download
1Password|https://1password.com/downloads/mac/
Clocker|https://apps.apple.com/app/clocker/id1056643111
CleanMyMac|https://macpaw.com/cleanmymac
